日付,総評価額,総取得額,総損益,総損益率
2026-06-25,25036.0,25726.0,-690.0,-2.68
2026-06-26,25036.0,26030.0,-994.0,-3.82
2026-06-27,81964.0,83230.0,-1266.0,-1.52
2026-06-28,81964.0,83230.0,-1266.0,-1.52
2026-06-29,81964.0,83230.0,-1266.0,-1.52
2026-06-30,88340.0,83230.0,5110.0,6.14
2026-07-01,92234.0,87950.0,4284.0,4.87
2026-07-02,92234.0,87950.0,4284.0,4.87
2026-07-03,96000.0,87950.0,8050.0,9.15
2026-07-04,135420.0,122720.0,12700.0,10.35
2026-07-06,135420.0,122720.0,12700.0,10.35
2026-07-07,178320.0,164720.0,13600.0,8.26
2026-07-08,180122.0,164720.0,15402.0,9.35
2026-07-09,177292.0,164720.0,12572.0,7.63
2026-07-10,172321.0,164720.0,7601.0,4.61
2026-07-11,172241.0,164720.0,7521.0,4.57
